node_id,lat,long
1647008557,36.6536840,-121.7938995
421381587,36.6440097,-121.8066305
1646442592,36.6444397,-121.8064060
89819313,36.6461624,-121.8055179
1646442620,36.6446496,-121.8062964
89819334,36.6480528,-121.8067458
2935611310,36.6478826,-121.8060726
2935611314,36.6479609,-121.8058399
2935611315,36.6480277,-121.8063213
89801177,36.6409070,-121.8020990
89821442,36.6439543,-121.8028688
89821444,36.6437400,-121.8028720
89821446,36.6432520,-121.8030660
89821448,36.6428490,-121.8030920
89821450,36.6424710,-121.8028870
89821451,36.6419570,-121.8025380
89821453,36.6418160,-121.8024550
89821455,36.6415700,-121.8023080
89821457,36.6412720,-121.8021830
89821460,36.6405680,-121.8020620
89821462,36.6401420,-121.8020870
89821465,36.6393320,-121.8021190
89821467,36.6380400,-121.8022290
89909535,36.6439190,-121.7994720
89909537,36.6441840,-121.7994510
89819264,36.6438830,-121.7934980
89884604,36.6434550,-121.7980300
89991923,36.6439000,-121.7980360
89705976,36.6506050,-121.8025390
89705978,36.6500880,-121.8035370
89798118,36.6506480,-121.8026240
89798120,36.6506840,-121.8026530
89798122,36.6507520,-121.8026880
89798124,36.6508760,-121.8027200
89798126,36.6509560,-121.8027820
89798128,36.6510100,-121.8028800
89819057,36.6501640,-121.8009220
89819059,36.6501420,-121.8009350
89819061,36.6501090,-121.8010070
89819063,36.6501050,-121.8011180
89819065,36.6501190,-121.8011710
89819067,36.6505980,-121.8025250
89819297,36.6474180,-121.8031600
89819301,36.6469940,-121.8028530
89819303,36.6469010,-121.8028400
89821438,36.6453860,-121.8028500
89821440,36.6447510,-121.8028390
89890539,36.6480654,-121.8046372
89890541,36.6484966,-121.8044344
89890543,36.6490432,-121.8041021
89890545,36.6495710,-121.8037930
89890547,36.6505960,-121.8033030
89909539,36.6445140,-121.7994410
89909541,36.6448700,-121.7994740
89909542,36.6452420,-121.7994720
89909545,36.6457270,-121.7994420
89909547,36.6463075,-121.7994350
89819291,36.6478089,-121.8047665
89819293,36.6475553,-121.8035148
89819299,36.6472444,-121.8029657
89819305,36.6463334,-121.8028402
2935611302,36.6471225,-121.8028947
2935611303,36.6473353,-121.8030511
2935611304,36.6474953,-121.8033184
2935611305,36.6475371,-121.8037460
2935611306,36.6476315,-121.8036931
2935611307,36.6476942,-121.8048188
89819258,36.6499940,-121.7934050
89819260,36.6485960,-121.7934190
89819263,36.6456490,-121.7934650
89991925,36.6450970,-121.7980180
89991927,36.6463027,-121.7979990
2539912673,36.6469825,-121.7934434
2612970976,36.6462873,-121.7934539
89799889,36.6529340,-121.8143580
89825260,36.6528580,-121.8147560
89825258,36.6526103,-121.8152716
89808867,36.6548090,-121.8056500
89825266,36.6529190,-121.8092930
